perimeter,area,mean_r,mean_g,mean_b,max_h_val,name
744820,78532,136,134,138,149,cyl
726761,184518,157,146,145,163,svar
742203,201528,134,129,128,155,svar
702257,138095,73,62,80,61,svar
728910,162247,89,72,77,67,svar
777858,158090,132,127,155,132,super
782856,121658,140,131,150,141,svar
775835,76145,150,142,138,145,svar
744750,94660,168,162,166,167,cyl
770007,139402,175,149,137,205,para
765121,93745,130,124,142,147,cyl
744800,53857,138,135,140,149,cyl
777201,179601,115,93,96,119,mod
762540,138092,102,83,109,131,mod
724438,157271,141,139,133,173,let
749575,147696,143,148,134,146,inter
733344,56054,160,160,161,161,inter
798148,62662,152,143,138,169,let
781990,160749,117,126,112,105,let
738796,71373,120,123,126,125,mod
770971,95506,131,127,123,145,mod
765437,111114,134,128,125,149,mod
745968,160006,96,107,100,45,let
743721,96203,129,136,135,171,mod
743505,129483,140,146,138,145,inter
767260,52321,107,103,98,48,let
752257,125861,157,153,144,177,let
755401,75372,136,141,127,140,inter
762517,152419,103,85,113,131,mod
675352,204404,184,170,157,169,mod
744851,47879,146,143,147,155,cyl
765059,105877,130,124,142,147,cyl
769996,194256,175,149,137,205,para
787273,57116,135,132,136,153,cyl
763654,70228,90,86,102,65,svar
738748,146415,149,149,150,151,super
724537,193725,189,180,179,183,svar
728943,166156,89,72,77,67,svar
730766,177190,158,158,167,163,svar
753284,160327,115,98,104,89,svar
748259,94040,114,108,145,114,super
754321,60610,130,123,149,150,super
730830,115875,115,113,123,129,svar
787283,39803,170,167,168,169,cyl
774293,151125,107,102,89,123,svar
768045,155099,105,98,101,91,cyl
762622,104207,88,84,90,91,cyl
752372,181687,137,126,126,169,let
750385,140016,128,120,110,127,let
744701,151090,143,129,122,131,mod
736664,175862,156,151,139,159,mod
770970,122601,131,127,123,145,svar1
748601,100862,145,141,142,155,let
757229,125719,123,112,109,141,mod
775063,55247,129,131,135,142,inter
743930,207183,159,158,160,161,let
752954,38922,123,128,131,143,let
730779,16471,144,157,161,157,inter
770251,30081,120,125,120,146,let
755976,52174,130,135,135,136,inter
760980,52120,119,120,118,123,inter
745206,78363,121,129,125,165,let
735877,147956,95,90,81,65,let
791495,67641,129,121,116,169,mod
765479,88460,134,129,125,149,svar1
745565,137080,111,98,127,99,mod
756934,95792,120,110,107,181,let
748860,91569,135,133,143,155,mod
728046,99113,101,97,107,69,let
762564,96396,89,85,91,91,cyl
768073,83520,131,131,110,129,cyl
749152,153036,96,86,96,85,svar
767457,136271,119,106,105,99,cyl
763720,100631,93,88,104,95,svar
777246,125535,115,102,96,109,svar
737240,155416,69,49,76,55,svar
760377,109009,122,115,112,133,svar
764937,159591,134,123,154,158,super
761742,61763,131,127,142,161,cyl
758760,54619,100,99,100,63,svar
754098,64917,128,125,130,155,cyl
737312,163307,124,109,115,149,svar
775687,95152,135,114,142,149,para
756139,81269,125,120,114,149,let
776215,132675,141,139,123,153,let
787742,103330,146,139,138,145,mod
735437,192397,124,129,111,140,inter
753357,112711,165,162,162,163,mod
720929,152932,54,54,68,51,svar1
735098,19340,145,157,162,157,inter
701692,175698,114,120,113,139,mod
759954,110535,119,121,117,136,let
748009,129349,131,125,118,137,let
754455,48651,97,95,88,114,let
762942,117752,131,135,139,142,inter
752434,161254,140,147,143,159,mod
743702,81837,149,159,165,165,inter
748654,98463,134,140,137,149,let
770818,139267,122,115,109,79,svar1
750399,50567,135,134,130,163,mod
725321,110657,159,159,160,159,inter
750199,134012,106,101,91,113,mod
749729,171344,143,135,132,149,let
755869,158284,162,156,158,157,let
775574,103825,132,111,144,149,para
763703,88594,92,88,104,115,svar
754080,47146,124,123,126,157,cyl
749205,147908,110,104,107,107,svar
768022,126985,137,134,117,140,cyl
784512,74614,126,117,146,124,super
737419,140006,110,98,93,121,svar
728262,144376,106,85,104,73,svar
754207,75785,123,116,149,150,super
752290,199310,103,83,96,75,svar
757164,121723,107,90,89,97,svar
709392,150680,129,137,106,133,cyl
748070,87972,75,76,103,83,cyl
750674,177325,105,94,89,71,svar
742067,150288,132,124,126,149,let
750396,180552,121,113,103,116,let
744080,39627,115,116,118,128,let
727016,159317,108,104,110,110,inter
748161,203638,196,178,177,183,mod
752819,44985,119,118,117,130,inter
807631,100051,133,118,134,147,let
727665,178714,106,96,99,119,mod
737938,96774,126,131,120,140,inter
731154,110697,133,130,128,163,mod
733349,161148,134,139,144,141,svar1
768617,48055,113,106,105,66,mod
760339,90893,138,139,130,138,inter
734371,167102,96,93,112,145,mod
758708,60668,115,113,113,120,inter
749876,116002,135,133,131,135,mod
740392,92701,108,104,104,169,let
776733,129028,122,120,120,149,let
756713,117336,113,98,135,117,inter
749632,73767,126,116,108,137,let
741974,156211,133,125,126,149,let
750538,172214,105,94,89,71,svar
748057,144903,76,77,104,83,cyl
731014,130517,63,59,63,55,svar
709452,181953,128,137,105,133,cyl
753007,100575,133,127,119,141,svar
757384,166918,121,105,107,119,svar
749175,98653,130,123,151,152,super
763707,112315,109,103,119,129,svar
741649,71873,114,107,141,148,super
770150,89222,96,93,88,63,svar
748248,79121,57,61,62,43,cyl
788994,85352,130,120,128,129,svar
748063,126265,77,78,104,83,cyl
750684,195104,104,93,88,71,svar
785420,32958,161,159,160,163,cyl
769232,51894,135,135,128,126,let
748724,114335,117,113,109,116,mod
772775,102417,140,131,132,157,let
786402,121114,111,103,94,61,let
778186,68266,137,136,136,138,inter
735001,97352,127,131,130,122,inter
769562,94320,136,137,130,138,let
776591,133412,125,106,114,125,let
750193,142954,107,102,92,113,mod
768781,74083,130,132,134,161,svar1
744756,128968,150,133,139,149,mod
776627,138197,125,106,113,125,mod
732777,136590,96,92,112,111,let
753776,83713,111,112,109,139,svar1
750136,121060,105,100,90,109,mod
747220,34819,121,122,127,142,inter
745750,90250,119,110,109,142,let
753284,76749,123,111,132,131,let
724598,4735,149,160,165,165,inter
738348,148753,86,79,72,47,let
708344,191173,131,129,125,136,let
786448,127341,110,102,93,61,mod
746077,113929,113,108,100,131,svar
754098,74226,127,125,129,155,cyl
745938,66849,133,131,132,149,svar
758697,88421,120,122,128,153,cyl
780677,89902,138,129,130,165,svar
781520,80656,121,113,108,137,svar
759111,86226,130,125,144,150,super
764692,168481,38,41,49,41,svar
781011,50506,113,103,104,132,svar
754223,58098,144,144,145,137,svar
750486,125461,136,132,148,134,super
734944,111202,135,130,145,146,super
776589,128889,137,109,151,149,para
742645,115859,158,139,131,173,para
761262,117714,143,136,140,160,mod
780569,60805,124,131,105,138,inter
756324,105916,123,113,118,117,mod
719449,54678,151,156,161,157,let
758644,70898,120,100,115,130,mod
733897,3222,149,156,159,157,let
767147,70880,140,129,131,139,mod
764100,123818,145,140,139,149,let
736730,91466,114,111,108,149,let
721891,105368,133,119,156,157,mod
762018,57095,131,136,118,140,inter
745873,107491,130,116,110,129,para
776624,128914,137,109,151,149,para
789666,106790,129,107,94,115,para
764881,82320,127,121,144,132,super
755603,168258,167,162,163,163,super
722815,196964,139,129,133,137,svar
745520,111557,131,124,126,149,svar
770550,151490,132,119,105,127,svar
761405,53571,115,103,137,134,super
777530,75493,105,89,88,87,svar
757919,135833,124,117,143,126,super
777334,130382,149,143,161,161,super
760432,52190,108,100,85,109,para
789720,143635,129,107,95,101,para
741827,114365,158,165,167,165,let
796965,89618,122,106,110,87,mod
779090,127261,113,88,93,109,mod
740354,142383,106,99,93,45,let
742617,82611,153,161,162,165,let
777834,103096,158,161,165,183,let
729305,106934,95,89,87,57,let
781687,166003,124,99,103,87,mod
742679,106274,117,109,114,131,let
704263,100799,130,128,126,157,mod
789688,153866,129,107,95,101,para
786089,83465,120,101,126,143,para
747503,94699,117,108,140,148,super
751916,142078,134,119,132,131,svar
756522,14650,128,126,145,134,super
735959,145533,51,51,59,47,svar
764637,66151,129,122,124,99,svar
776140,97634,126,110,143,130,super
746758,6844,148,159,164,157,super
747808,110894,121,112,114,98,svar
783752,106897,148,145,153,154,super
728184,112366,119,111,112,135,svar
751417,83658,104,87,98,91,svar
770773,79329,122,116,138,112,super
777108,112126,111,110,108,131,cyl
811140,141127,152,124,121,185,para
789708,150319,129,108,95,101,para
741090,95729,87,89,92,115,let
760927,124044,140,138,141,157,let
779865,38860,132,123,127,130,mod
728155,165009,113,91,93,97,let
754691,123143,122,113,106,100,mod
780043,125937,135,122,129,160,let
764542,120848,162,139,139,169,mod
779853,61397,132,124,127,131,mod
747702,126727,129,129,123,145,let
750744,6962,141,160,174,159,let
789704,125303,129,107,94,101,para
811177,131196,152,123,121,185,para
737646,179906,156,158,160,159,cyl
743739,131859,131,128,129,149,svar
751924,80098,135,142,144,165,super
746738,145511,123,112,119,107,svar
742455,184060,145,130,121,125,svar
760578,105547,124,116,145,124,super
731000,131940,128,119,146,132,super
762451,198406,142,139,153,154,super
753863,82840,113,101,135,116,super
754318,38875,132,130,134,149,svar
734506,137187,117,105,111,107,svar
773792,183567,151,128,161,163,para
789724,146828,129,107,95,101,para
811189,149540,154,118,149,155,para
756736,93042,119,100,105,91,mod
735106,164595,138,136,122,193,let
750895,66885,143,147,146,165,let
754131,113937,123,110,100,127,mod
749877,96242,137,137,134,139,mod
741660,103754,128,127,122,131,mod
750646,12067,162,162,164,163,mod
727261,127000,127,128,124,141,let
767242,138359,127,110,102,114,mod
715163,186625,149,150,154,171,let
811186,174665,155,119,150,155,para
789722,196164,129,107,95,115,para
794398,72505,147,128,119,129,para
758828,92217,119,111,107,131,svar
772530,73937,140,139,147,147,svar
754314,116468,124,122,143,128,super
733714,66280,120,114,146,150,super
